image_path,label,split
data/durian/kaggle_durian_leaf_disease_dataset/images/test__ALGAL_LEAF_SPOT__to_label_100.jpg,ALGAL_LEAF_SPOT,test
data/durian/kaggle_durian_leaf_disease_dataset/images/test__ALGAL_LEAF_SPOT__to_label_104.jpg,ALGAL_LEAF_SPOT,test
data/durian/kaggle_durian_leaf_disease_dataset/images/test__ALGAL_LEAF_SPOT__to_label_108.jpg,ALGAL_LEAF_SPOT,test
data/durian/kaggle_durian_leaf_disease_dataset/images/test__ALGAL_LEAF_SPOT__to_label_12.jpg,ALGAL_LEAF_SPOT,test
data/durian/kaggle_durian_leaf_disease_dataset/images/test__ALGAL_LEAF_SPOT__to_label_126.jpg,ALGAL_LEAF_SPOT,test
data/durian/kaggle_durian_leaf_disease_dataset/images/test__ALGAL_LEAF_SPOT__to_label_127.jpg,ALGAL_LEAF_SPOT,test
data/durian/kaggle_durian_leaf_disease_dataset/images/test__ALGAL_LEAF_SPOT__to_label_134.jpg,ALGAL_LEAF_SPOT,test
data/durian/kaggle_durian_leaf_disease_dataset/images/test__ALGAL_LEAF_SPOT__to_label_139.jpg,ALGAL_LEAF_SPOT,test
data/durian/kaggle_durian_leaf_disease_dataset/images/test__ALGAL_LEAF_SPOT__to_label_148.jpg,ALGAL_LEAF_SPOT,test
data/durian/kaggle_durian_leaf_disease_dataset/images/test__ALGAL_LEAF_SPOT__to_label_154.jpg,ALGAL_LEAF_SPOT,test
data/durian/kaggle_durian_leaf_disease_dataset/images/test__ALGAL_LEAF_SPOT__to_label_156.jpg,ALGAL_LEAF_SPOT,test
data/durian/kaggle_durian_leaf_disease_dataset/images/test__ALGAL_LEAF_SPOT__to_label_158.jpg,ALGAL_LEAF_SPOT,test
data/durian/kaggle_durian_leaf_disease_dataset/images/test__ALGAL_LEAF_SPOT__to_label_161.jpg,ALGAL_LEAF_SPOT,test
data/durian/kaggle_durian_leaf_disease_dataset/images/test__ALGAL_LEAF_SPOT__to_label_162.jpg,ALGAL_LEAF_SPOT,test
data/durian/kaggle_durian_leaf_disease_dataset/images/test__ALGAL_LEAF_SPOT__to_label_164.jpg,ALGAL_LEAF_SPOT,test
data/durian/kaggle_durian_leaf_disease_dataset/images/test__ALGAL_LEAF_SPOT__to_label_168.jpg,ALGAL_LEAF_SPOT,test
data/durian/kaggle_durian_leaf_disease_dataset/images/test__ALGAL_LEAF_SPOT__to_label_169.jpg,ALGAL_LEAF_SPOT,test
data/durian/kaggle_durian_leaf_disease_dataset/images/test__ALGAL_LEAF_SPOT__to_label_17.jpg,ALGAL_LEAF_SPOT,test
data/durian/kaggle_durian_leaf_disease_dataset/images/test__ALGAL_LEAF_SPOT__to_label_170.jpg,ALGAL_LEAF_SPOT,test
data/durian/kaggle_durian_leaf_disease_dataset/images/test__ALGAL_LEAF_SPOT__to_label_172.jpg,ALGAL_LEAF_SPOT,test
data/durian/kaggle_durian_leaf_disease_dataset/images/test__ALGAL_LEAF_SPOT__to_label_173.jpg,ALGAL_LEAF_SPOT,test
data/durian/kaggle_durian_leaf_disease_dataset/images/test__ALGAL_LEAF_SPOT__to_label_174.jpg,ALGAL_LEAF_SPOT,test
data/durian/kaggle_durian_leaf_disease_dataset/images/test__ALGAL_LEAF_SPOT__to_label_177.jpg,ALGAL_LEAF_SPOT,test
data/durian/kaggle_durian_leaf_disease_dataset/images/test__ALGAL_LEAF_SPOT__to_label_180.jpg,ALGAL_LEAF_SPOT,test
data/durian/kaggle_durian_leaf_disease_dataset/images/test__ALGAL_LEAF_SPOT__to_label_187.jpg,ALGAL_LEAF_SPOT,test
data/durian/kaggle_durian_leaf_disease_dataset/images/test__ALGAL_LEAF_SPOT__to_label_190.jpg,ALGAL_LEAF_SPOT,test
data/durian/kaggle_durian_leaf_disease_dataset/images/test__ALGAL_LEAF_SPOT__to_label_197.jpg,ALGAL_LEAF_SPOT,test
data/durian/kaggle_durian_leaf_disease_dataset/images/test__ALGAL_LEAF_SPOT__to_label_198.jpg,ALGAL_LEAF_SPOT,test
data/durian/kaggle_durian_leaf_disease_dataset/images/test__ALGAL_LEAF_SPOT__to_label_199.jpg,ALGAL_LEAF_SPOT,test
data/durian/kaggle_durian_leaf_disease_dataset/images/test__ALGAL_LEAF_SPOT__to_label_205.jpg,ALGAL_LEAF_SPOT,test
data/durian/kaggle_durian_leaf_disease_dataset/images/test__ALGAL_LEAF_SPOT__to_label_207.jpg,ALGAL_LEAF_SPOT,test
data/durian/kaggle_durian_leaf_disease_dataset/images/test__ALGAL_LEAF_SPOT__to_label_217.jpg,ALGAL_LEAF_SPOT,test
data/durian/kaggle_durian_leaf_disease_dataset/images/test__ALGAL_LEAF_SPOT__to_label_218.jpg,ALGAL_LEAF_SPOT,test
data/durian/kaggle_durian_leaf_disease_dataset/images/test__ALGAL_LEAF_SPOT__to_label_219.jpg,ALGAL_LEAF_SPOT,test
data/durian/kaggle_durian_leaf_disease_dataset/images/test__ALGAL_LEAF_SPOT__to_label_220.jpg,ALGAL_LEAF_SPOT,test
data/durian/kaggle_durian_leaf_disease_dataset/images/test__ALGAL_LEAF_SPOT__to_label_221.jpg,ALGAL_LEAF_SPOT,test
data/durian/kaggle_durian_leaf_disease_dataset/images/test__ALGAL_LEAF_SPOT__to_label_232.jpg,ALGAL_LEAF_SPOT,test
data/durian/kaggle_durian_leaf_disease_dataset/images/test__ALGAL_LEAF_SPOT__to_label_239.jpg,ALGAL_LEAF_SPOT,test
data/durian/kaggle_durian_leaf_disease_dataset/images/test__ALGAL_LEAF_SPOT__to_label_241.jpg,ALGAL_LEAF_SPOT,test
data/durian/kaggle_durian_leaf_disease_dataset/images/test__ALGAL_LEAF_SPOT__to_label_256.jpg,ALGAL_LEAF_SPOT,test
data/durian/kaggle_durian_leaf_disease_dataset/images/test__ALGAL_LEAF_SPOT__to_label_262.jpg,ALGAL_LEAF_SPOT,test
data/durian/kaggle_durian_leaf_disease_dataset/images/test__ALGAL_LEAF_SPOT__to_label_263.jpg,ALGAL_LEAF_SPOT,test
data/durian/kaggle_durian_leaf_disease_dataset/images/test__ALGAL_LEAF_SPOT__to_label_272.jpg,ALGAL_LEAF_SPOT,test
data/durian/kaggle_durian_leaf_disease_dataset/images/test__ALGAL_LEAF_SPOT__to_label_278.jpg,ALGAL_LEAF_SPOT,test
data/durian/kaggle_durian_leaf_disease_dataset/images/test__ALGAL_LEAF_SPOT__to_label_279.jpg,ALGAL_LEAF_SPOT,test
data/durian/kaggle_durian_leaf_disease_dataset/images/test__ALGAL_LEAF_SPOT__to_label_283.jpg,ALGAL_LEAF_SPOT,test
data/durian/kaggle_durian_leaf_disease_dataset/images/test__ALGAL_LEAF_SPOT__to_label_296.jpg,ALGAL_LEAF_SPOT,test
data/durian/kaggle_durian_leaf_disease_dataset/images/test__ALGAL_LEAF_SPOT__to_label_298.jpg,ALGAL_LEAF_SPOT,test
data/durian/kaggle_durian_leaf_disease_dataset/images/test__ALGAL_LEAF_SPOT__to_label_303.jpg,ALGAL_LEAF_SPOT,test
data/durian/kaggle_durian_leaf_disease_dataset/images/test__ALGAL_LEAF_SPOT__to_label_307.jpg,ALGAL_LEAF_SPOT,test
data/durian/kaggle_durian_leaf_disease_dataset/images/test__ALGAL_LEAF_SPOT__to_label_314.jpg,ALGAL_LEAF_SPOT,test
data/durian/kaggle_durian_leaf_disease_dataset/images/test__ALGAL_LEAF_SPOT__to_label_319.jpg,ALGAL_LEAF_SPOT,test
data/durian/kaggle_durian_leaf_disease_dataset/images/test__ALGAL_LEAF_SPOT__to_label_322.jpg,ALGAL_LEAF_SPOT,test
data/durian/kaggle_durian_leaf_disease_dataset/images/test__ALGAL_LEAF_SPOT__to_label_328.jpg,ALGAL_LEAF_SPOT,test
data/durian/kaggle_durian_leaf_disease_dataset/images/test__ALGAL_LEAF_SPOT__to_label_332.jpg,ALGAL_LEAF_SPOT,test
data/durian/kaggle_durian_leaf_disease_dataset/images/test__ALGAL_LEAF_SPOT__to_label_333.jpg,ALGAL_LEAF_SPOT,test
data/durian/kaggle_durian_leaf_disease_dataset/images/test__ALGAL_LEAF_SPOT__to_label_337.jpg,ALGAL_LEAF_SPOT,test
data/durian/kaggle_durian_leaf_disease_dataset/images/test__ALGAL_LEAF_SPOT__to_label_339.jpg,ALGAL_LEAF_SPOT,test
data/durian/kaggle_durian_leaf_disease_dataset/images/test__ALGAL_LEAF_SPOT__to_label_347.jpg,ALGAL_LEAF_SPOT,test
data/durian/kaggle_durian_leaf_disease_dataset/images/test__ALGAL_LEAF_SPOT__to_label_352.jpg,ALGAL_LEAF_SPOT,test
data/durian/kaggle_durian_leaf_disease_dataset/images/test__ALGAL_LEAF_SPOT__to_label_357.jpg,ALGAL_LEAF_SPOT,test
data/durian/kaggle_durian_leaf_disease_dataset/images/test__ALGAL_LEAF_SPOT__to_label_360.jpg,ALGAL_LEAF_SPOT,test
data/durian/kaggle_durian_leaf_disease_dataset/images/test__ALGAL_LEAF_SPOT__to_label_361.jpg,ALGAL_LEAF_SPOT,test
data/durian/kaggle_durian_leaf_disease_dataset/images/test__ALGAL_LEAF_SPOT__to_label_362.jpg,ALGAL_LEAF_SPOT,test
data/durian/kaggle_durian_leaf_disease_dataset/images/test__ALGAL_LEAF_SPOT__to_label_366.jpg,ALGAL_LEAF_SPOT,test
data/durian/kaggle_durian_leaf_disease_dataset/images/test__ALGAL_LEAF_SPOT__to_label_37.jpg,ALGAL_LEAF_SPOT,test
data/durian/kaggle_durian_leaf_disease_dataset/images/test__ALGAL_LEAF_SPOT__to_label_38.jpg,ALGAL_LEAF_SPOT,test
data/durian/kaggle_durian_leaf_disease_dataset/images/test__ALGAL_LEAF_SPOT__to_label_382.jpg,ALGAL_LEAF_SPOT,test
data/durian/kaggle_durian_leaf_disease_dataset/images/test__ALGAL_LEAF_SPOT__to_label_387.jpg,ALGAL_LEAF_SPOT,test
data/durian/kaggle_durian_leaf_disease_dataset/images/test__ALGAL_LEAF_SPOT__to_label_390.jpg,ALGAL_LEAF_SPOT,test
data/durian/kaggle_durian_leaf_disease_dataset/images/test__ALGAL_LEAF_SPOT__to_label_394.jpg,ALGAL_LEAF_SPOT,test
data/durian/kaggle_durian_leaf_disease_dataset/images/test__ALGAL_LEAF_SPOT__to_label_395.jpg,ALGAL_LEAF_SPOT,test
