image_path,label,split
data/durian/mendeley_pxzvksbwnj/images/test__Leaf_Algal__Leaf_Algal_00004.jpg,Leaf_Algal,test
data/durian/mendeley_pxzvksbwnj/images/test__Leaf_Algal__Leaf_Algal_00013.jpg,Leaf_Algal,test
data/durian/mendeley_pxzvksbwnj/images/test__Leaf_Algal__Leaf_Algal_00014.jpg,Leaf_Algal,test
data/durian/mendeley_pxzvksbwnj/images/test__Leaf_Algal__Leaf_Algal_00016.jpg,Leaf_Algal,test
data/durian/mendeley_pxzvksbwnj/images/test__Leaf_Algal__Leaf_Algal_00017.jpg,Leaf_Algal,test
data/durian/mendeley_pxzvksbwnj/images/test__Leaf_Algal__Leaf_Algal_00023.jpg,Leaf_Algal,test
data/durian/mendeley_pxzvksbwnj/images/test__Leaf_Algal__Leaf_Algal_00041.jpg,Leaf_Algal,test
data/durian/mendeley_pxzvksbwnj/images/test__Leaf_Algal__Leaf_Algal_00045.jpg,Leaf_Algal,test
data/durian/mendeley_pxzvksbwnj/images/test__Leaf_Algal__Leaf_Algal_00048.jpg,Leaf_Algal,test
data/durian/mendeley_pxzvksbwnj/images/test__Leaf_Algal__Leaf_Algal_00050.jpg,Leaf_Algal,test
data/durian/mendeley_pxzvksbwnj/images/test__Leaf_Algal__Leaf_Algal_00053.jpg,Leaf_Algal,test
data/durian/mendeley_pxzvksbwnj/images/test__Leaf_Algal__Leaf_Algal_00058.jpg,Leaf_Algal,test
data/durian/mendeley_pxzvksbwnj/images/test__Leaf_Algal__Leaf_Algal_00064.jpg,Leaf_Algal,test
data/durian/mendeley_pxzvksbwnj/images/test__Leaf_Algal__Leaf_Algal_00072.jpg,Leaf_Algal,test
data/durian/mendeley_pxzvksbwnj/images/test__Leaf_Algal__Leaf_Algal_00080.jpg,Leaf_Algal,test
data/durian/mendeley_pxzvksbwnj/images/test__Leaf_Algal__Leaf_Algal_00082.jpg,Leaf_Algal,test
